Always Show Pacing|始终显示消耗速度
Extra Balance|额外余额
Extra Usage Balance|额外用量余额
Daily|每日额度
Chat|对话
Completions|补全
Org Credits|组织点数
Org Spend|组织花费
Total Usage|总用量
Total usage|总用量
Auto Usage|Auto 用量
Auto usage|Auto 用量
API Usage|API 用量
API usage|API 用量
Requests|请求数
On-demand|按需用量
Pay as you go|按量付费
Disabled|未启用
Token Plan|Token 套餐
API Keys|API 密钥
Balance|余额
This Week|本周
This Month|本月
Key Limit|密钥额度
Free tier|免费套餐
Activity|活动记录
Web Searches|联网搜索
Search|搜索
Unknown|未知
That provider link is unavailable.|该服务商链接不可用。
That provider link could not be opened.|无法打开该服务商链接。
Unknown provider.|未知服务商。
The API key status could not be read.|无法读取 API 密钥状态。
That provider does not accept an API key.|该服务商不支持使用 API 密钥。
The API key was {action}, but OpenQuota could not finish updating provider status. Restart OpenQuota or try again.|API 密钥已{action}，但 OpenQuota 无法完成服务商状态更新。请重启 OpenQuota 或重试。
The API key could not be removed.|无法移除 API 密钥。
Codex is not enabled.|尚未启用 Codex。
The reset claim could not be completed.|无法完成额度重置。
Provider is not enabled.|尚未启用该服务商。
That global shortcut is invalid or already in use.|该全局快捷键无效或已被占用。
Launch at login could not be updated.|无法修改开机启动设置。
The notification could not be delivered.|无法发送通知。
Under 10% usage remaining for this window.|当前周期的剩余额度已不足 10%。
Projected to finish close to your limit.|预计本周期结束时额度将所剩无几。
Projected to run out before the limit resets.|预计将在重置前用尽额度。
Enter an API key before saving.|请先输入 API 密钥再保存。
The saved API key has an unsupported encoding.|已保存的 API 密钥使用了不支持的编码。
Start Antigravity or run `agy` and try again.|请启动 Antigravity 或运行 `agy`，然后重试。
Antigravity sign-in expired. Open Antigravity or run `agy` to refresh.|Antigravity 登录已过期。请打开 Antigravity 或运行 `agy` 重新登录。
Antigravity credentials could not be read from secure storage.|无法从安全存储读取 Antigravity 凭据。
Antigravity credentials are invalid. Sign in again in Antigravity or `agy`.|Antigravity 凭据无效。请在 Antigravity 或 `agy` 中重新登录。
Antigravity usage is temporarily unavailable. Try again shortly.|暂时无法获取 Antigravity 用量，请稍后重试。
From your Claude usage history and pi (estimated)|根据本地 Claude 和 pi 用量历史估算
From your Claude usage history (estimated)|根据本地 Claude 用量历史估算
From your Codex logs and pi (estimated)|根据本地 Codex 和 pi 日志估算
From your Codex logs (estimated)|根据本地 Codex 日志估算
From your Grok logs (estimated)|根据本地 Grok 日志估算
From your Cursor usage export|来自 Cursor 用量导出数据
From your OpenCode local database; missing costs use catalog estimates|来自 OpenCode 本地数据库；缺少费用时按价格表估算
Local {provider_name} usage history could not be refreshed; cached history is shown when available.|无法刷新本地 {provider_name} 用量历史；如有缓存，将显示缓存数据。
Claude Desktop login found, but its macOS-only encrypted session cannot be reused safely. Run `claude` in a terminal and sign in once.|检测到 Claude Desktop 登录，但无法安全复用其 macOS 加密会话。请在终端运行 `claude` 并登录一次。
Claude OAuth settings contain an invalid URL.|Claude OAuth 设置中的网址无效。
Claude login changed during refresh. Refresh again.|刷新期间 Claude 登录状态已变化，请重新刷新。
The Claude account changed while OpenQuota was running. Restart OpenQuota to reconnect it safely.|OpenQuota 运行期间 Claude 账号已切换。请重启 OpenQuota，以安全地重新连接。
Claude account settings could not be loaded.|无法加载 Claude 账号设置。
Re-login for live usage. Run `claude` and sign in again to restore subscription limits.|请运行 `claude` 重新登录，以恢复实时订阅额度显示。
Claude live usage is rate limited; showing the last successful limits.|Claude 实时用量查询受到限流；正在显示上次成功获取的额度。
Claude live usage is rate limited; retrying in about {}.|Claude 实时用量查询受到限流；约 {}后重试。
Ready to retry|可以重试
Retrying in about {}|约 {}后重试
Live usage paused|实时用量查询已暂停
Showing the last successful limits · {retry}|显示上次成功获取的额度 · {retry}
Subscription usage is unavailable for API-key-only logins. Sign in to Codex with ChatGPT.|仅使用 API 密钥登录时无法查看订阅用量。请使用 ChatGPT 账号登录 Codex。
Codex credentials changed while refreshing. Run `codex` to sign in again.|刷新期间 Codex 凭据已变化。请运行 `codex` 重新登录。
Your Codex session was revoked. Run `codex` to sign in again.|Codex 会话已被撤销。请运行 `codex` 重新登录。
Your Codex access token expired. Run `codex` to sign in again.|Codex 访问令牌已过期。请运行 `codex` 重新登录。
Codex auth data is invalid. Run `codex` to sign in again.|Codex 认证数据无效。请运行 `codex` 重新登录。
The Codex account changed while usage was refreshing. Refresh again.|刷新用量期间 Codex 账号已切换，请重新刷新。
OpenQuota cache is unavailable.|OpenQuota 缓存不可用。
Sign in to GitHub Copilot in your editor, or run `gh auth login`, and try again.|请在编辑器中登录 GitHub Copilot，或运行 `gh auth login`，然后重试。
Your GitHub token is invalid or expired. Run `gh auth login` and try again.|GitHub 令牌无效或已过期。请运行 `gh auth login`，然后重试。
Copilot usage data is unavailable for this account.|此账号的 Copilot 用量数据不可用。
The API key is too large for Windows Credential Manager.|API 密钥超出了 Windows 凭据管理器的大小限制。
OpenQuota does not overwrite credentials owned by another Windows application.|OpenQuota 不会覆盖其他 Windows 应用保存的凭据。
The credential owned by the provider no longer exists.|该服务商保存的凭据已不存在。
The Linux Secret Service has no usable default collection. Start or unlock your keyring and try again.|Linux 密钥服务没有可用的默认集合。请启动或解锁密钥环后重试。
The Linux Secret Service collection is locked. Unlock your keyring and try again.|Linux 密钥服务集合已锁定，请解锁密钥环后重试。
Not logged in. Sign in via Cursor app or run `agent login`.|尚未登录。请在 Cursor 中登录，或运行 `agent login`。
Session expired. Sign in via Cursor app or run `agent login`.|会话已过期。请在 Cursor 中登录，或运行 `agent login`。
Token expired. Sign in via Cursor app or run `agent login`.|令牌已过期。请在 Cursor 中登录，或运行 `agent login`。
The refreshed Cursor login could not be saved.|无法保存刷新后的 Cursor 登录状态。
Usage request failed after refresh. Try again.|刷新后的用量请求失败，请重试。
Total usage limit missing from API response.|API 响应缺少总用量上限。
No active Cursor subscription.|没有有效的 Cursor 订阅。
Cursor request-based usage data unavailable. Try again later.|无法获取 Cursor 按请求计量的用量，请稍后重试。
Devin is not logged in. Run `devin auth login` or sign in to the Devin app.|尚未登录 Devin。请运行 `devin auth login` 或在 Devin 应用中登录。
Devin login expired. Run `devin auth login` or sign in to the Devin app.|Devin 登录已过期。请运行 `devin auth login` 或在 Devin 应用中登录。
Devin quota data is unavailable for this account.|此账号的 Devin 额度数据不可用。
Grok is not logged in. Run `grok login`.|尚未登录 Grok。请运行 `grok login`。
Grok login data is invalid. Run `grok login` again.|Grok 登录数据无效。请重新运行 `grok login`。
Grok login expired. Run `grok login` again.|Grok 登录已过期。请重新运行 `grok login`。
Add a Kimi API key in Customize or set KIMI_API_KEY.|请在自定义中添加 Kimi API 密钥，或设置 KIMI_API_KEY。
The Kimi API key is invalid. Check it in the Kimi Code console.|Kimi API 密钥无效，请在 Kimi Code 控制台检查。
Add a MiniMax API key in Customize or set MINIMAX_API_KEY.|请在自定义中添加 MiniMax API 密钥，或设置 MINIMAX_API_KEY。
The MiniMax API key is invalid. Check it at minimax.io.|MiniMax API 密钥无效，请在 minimax.io 检查。
No active MiniMax token plan. Subscribe at minimax.io to view usage.|没有有效的 MiniMax Token 套餐。请在 minimax.io 订阅后查看用量。
OpenCode was not detected. Sign in to OpenCode Go or use OpenCode locally first.|未检测到 OpenCode。请先登录 OpenCode Go，或在本机使用 OpenCode。
OpenCode login data could not be read. Sign in to OpenCode Go again.|无法读取 OpenCode 登录数据，请重新登录 OpenCode Go。
The OpenCode data directory could not be read.|无法读取 OpenCode 数据目录。
OpenCode local usage data is temporarily unavailable.|OpenCode 本地用量数据暂时不可用。
OpenCode Go login data is invalid or expired. Sign in to OpenCode Go again.|OpenCode Go 登录数据无效或已过期，请重新登录。
OpenCode Go subscription required.|需要 OpenCode Go 订阅。
OpenCode Go login data could not be read; local database usage is still shown.|无法读取 OpenCode Go 登录数据；仍会显示本地数据库用量。
OpenCode Go subscription required. Local usage is still shown while OpenCode Go quota data is unavailable.|需要 OpenCode Go 订阅。云端额度不可用时，仍会显示本地用量。
Some OpenCode databases could not be read; available local usage is shown.|部分 OpenCode 数据库无法读取；正在显示可获取的本地用量。
Add an OpenRouter API key in Customize to view usage.|请在自定义中添加 OpenRouter API 密钥以查看用量。
